Date,Price,Open,High,Low,Vol.,Change %
2024-10-18,2641.72,2605.53,2675.17,2596.72,315000.0,1.39
2024-10-17,2605.53,2611.09,2646.96,2578.23,242980.0,-0.21
2024-10-16,2611.09,2607.79,2645.42,2589.72,280520.0,0.12
2024-10-15,2607.84,2630.54,2682.02,2540.15,442580.0,-0.86
2024-10-14,2630.54,2468.94,2651.52,2444.63,474240.0,6.55
2024-10-13,2468.92,2476.46,2484.13,2437.44,130460.00000000001,-0.31
2024-10-12,2476.48,2436.77,2489.53,2434.39,150000.0,1.63
2024-10-11,2436.73,2385.4,2470.65,2382.22,254870.0,2.15
2024-10-10,2385.4,2370.1,2417.9,2353.08,288050.0,0.64
2024-10-09,2370.13,2440.91,2472.03,2355.24,268060.0,-2.9
2024-10-08,2440.93,2422.73,2461.96,2403.2,221590.0,0.75
2024-10-07,2422.75,2440.33,2520.05,2407.05,324830.0,-0.72
2024-10-06,2440.33,2414.98,2455.95,2407.13,120240.0,1.05
2024-10-05,2414.98,2414.44,2427.34,2390.08,114500.0,0.02
2024-10-04,2414.43,2349.67,2440.74,2339.97,263740.0,2.76
2024-10-03,2349.67,2365.53,2402.68,2311.68,344360.0,-0.67
2024-10-02,2365.57,2449.65,2498.7,2355.21,343590.0,-3.43
2024-10-01,2449.67,2602.3,2656.71,2422.11,535540.0,-5.91
2024-09-30,2603.48,2657.67,2661.71,2579.32,308410.0,-2.04
2024-09-29,2657.67,2675.71,2683.73,2634.69,171030.0,-0.67
2024-09-28,2675.71,2694.53,2703.83,2651.38,145420.0,-0.7
2024-09-27,2694.53,2632.05,2726.69,2616.01,304780.0,2.37
2024-09-26,2632.05,2580.29,2664.95,2560.48,311520.0,2.0
2024-09-25,2580.34,2652.47,2672.17,2557.82,244760.0,-2.72
2024-09-24,2652.5,2647.65,2669.32,2593.31,330160.0,0.18
2024-09-23,2647.65,2581.06,2701.6,2544.68,369370.0,2.53
2024-09-22,2582.35,2613.25,2631.37,2527.75,233740.0,-1.19
2024-09-21,2613.35,2561.29,2619.81,2530.28,184260.0,2.01
2024-09-20,2561.79,2464.52,2570.58,2438.98,411520.0,3.95
2024-09-19,2464.49,2374.95,2491.54,2373.22,383180.0,3.89
2024-09-18,2372.18,2341.83,2372.54,2278.97,346210.0,1.3
2024-09-17,2341.82,2295.72,2392.33,2264.52,324970.0,2.01
2024-09-16,2295.72,2317.04,2334.45,2254.52,385300.0,-0.92
